FilePath,FileName,SizeBytes,SizeKB,Entropy,MD5,SHA1,SHA256,ImportHash,MagicNumber,FileType,Permissions,PETimestamp,PETimestamp-year,CompilerLanguage,DigitalSignature,PEHeaderOffset,EntryPoint,Packer
C:\Users\adria\Documents\_malware\01d1a520538ae81d760dfc8736b05b5a7528989a7a65e985454860e98d50e58f.exe,01d1a520538ae81d760dfc8736b05b5a7528989a7a65e985454860e98d50e58f.exe,425984,416,7.762,a8a426e610dff042432e43af00e950ab,46caefeeae04dadf9b03e89b518d22c4d113a5a4,01d1a520538ae81d760dfc8736b05b5a7528989a7a65e985454860e98d50e58f,2dc7ae966763bc982dcf60c7d44b1086,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-28 10:21:12 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,216 (0xD8),RVA=0x197B; VA=0x41197B,"Likely packed (avg=6.87; flags=.data:high,.rsrc:high)"
C:\Users\adria\Documents\_malware\01e6b4dcc05ac8c7dc82efecf339be213ad92bff57d01fbc434b3e53b0a36edd.exe,01e6b4dcc05ac8c7dc82efecf339be213ad92bff57d01fbc434b3e53b0a36edd.exe,430080,420,7.6578,9250784dfb5bbfeef6972157cc9b5c88,f7c3034067eb26ceafa55f8e52511ffd7864a103,01e6b4dcc05ac8c7dc82efecf339be213ad92bff57d01fbc434b3e53b0a36edd,c9190f5932cf91740e7d42e569db42de,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-19 08:19:46 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x15A8; VA=0x4115A8,"Likely packed (avg=6.78; flags=.data:high,.rsrc:high)"
C:\Users\adria\Documents\_malware\01ee8378b6cfffa6abf1477b57ec0f11c25812bda89e79643665713dae160141.exe,01ee8378b6cfffa6abf1477b57ec0f11c25812bda89e79643665713dae160141.exe,179200,175,7.7949,3dba76942282cee5dd68f5850cf8afb2,d09adaa6a4b266c15b93b93ea1ff88f6f44ef6e3,01ee8378b6cfffa6abf1477b57ec0f11c25812bda89e79643665713dae160141,f2199a096bee474b584377510f01971d,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-03-06 23:39:11 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,216 (0xD8),RVA=0x1C1CC; VA=0x41C1CC,"Likely packed (avg=6.54; flags=.data:high,.text:high)"
C:\Users\adria\Documents\_malware\02b231d6ea314c38204b9c3a5a53b38f146af219495fb477e362b6f2147cb62f.exe,02b231d6ea314c38204b9c3a5a53b38f146af219495fb477e362b6f2147cb62f.exe,208384,203.5,6.8928,82f1921dffae737b877674b89b5a1da0,67f937d7896844fe014f667dce268a68a472150c,02b231d6ea314c38204b9c3a5a53b38f146af219495fb477e362b6f2147cb62f,cd43805a825db1da6f680699eb9e1b10,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-28 22:41:22 UTC (OK),2012,MSVC (Language: C/C++),Unsigned,224 (0xE0),RVA=0x13A43; VA=0x413A43,Unpacked
C:\Users\adria\Documents\_malware\02b329186cd2d0a0107e3b9292f86e86bcf41c7403473b63d818e6825d80f9f0.exe,02b329186cd2d0a0107e3b9292f86e86bcf41c7403473b63d818e6825d80f9f0.exe,413696,404,7.8062,b8d4ddad4a658866940d7ced664b581d,b6c7d465a03d9ac546c3d92f9c2fa75ad3b120f3,02b329186cd2d0a0107e3b9292f86e86bcf41c7403473b63d818e6825d80f9f0,6470f490723fe4aa6d34256f2c0f6c3d,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-21 17:58:19 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,216 (0xD8),RVA=0x14F3; VA=0x4114F3,"Likely packed (avg=6.86; flags=.data:high,.rsrc:high)"
C:\Users\adria\Documents\_malware\02b6cfb2427f427acb2aba544ed7c6262fb6841297f83c6f0dfe93a6022edf2e.exe,02b6cfb2427f427acb2aba544ed7c6262fb6841297f83c6f0dfe93a6022edf2e.exe,409600,400,7.2126,1ee59a9212a8265cf4c99c28f26d8a00,9d05d53a4e90bda2417ee96ffb3971afa22b3633,02b6cfb2427f427acb2aba544ed7c6262fb6841297f83c6f0dfe93a6022edf2e,882c9ff0b08193d38bfb4670eef5e4c7,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-22 09:14:45 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x12A5F; VA=0x422A5F,"Likely packed (avg=6.87; flags=.rsrc:high,.text:high)"
C:\Users\adria\Documents\_malware\01d0e53c6a9eac73e4cc4436d273ade93452b497ec939741060d14a272eaa6ae.exe,01d0e53c6a9eac73e4cc4436d273ade93452b497ec939741060d14a272eaa6ae.exe,262696,256.54,7.6842,5138eb832dc608385935720c96cdbb7c,279a34caeb01895022c8d4e647a04c7e9d379576,01d0e53c6a9eac73e4cc4436d273ade93452b497ec939741060d14a272eaa6ae,025b4103e83282565e81feaa624161ff,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-27 14:40:23 UTC (OK),2012,MSVC (Language: C/C++),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x1220; VA=0x401220,Likely packed (avg=3.21; flags=.g:high)
C:\Users\adria\Documents\_malware\02ad0044106143934cf53ce9a126c8cea29233f563aa53ca7584e30cb666a87a.exe,02ad0044106143934cf53ce9a126c8cea29233f563aa53ca7584e30cb666a87a.exe,110176,107.59,6.9938,423c41c282c51efc6d8a75cda3846663,e62c764a18642df4fc82886aa0b0e14cb54d6f1b,02ad0044106143934cf53ce9a126c8cea29233f563aa53ca7584e30cb666a87a,998684f8e3fb744185d575fd3e911198,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-27 08:00:48 UTC (OK),2012,Unknown (Language: Unknown),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x1AEC0; VA=0x41AEC0,Unpacked
C:\Users\adria\Documents\_malware\02cfabd2e684c8acc3694af40167b6b72001b8afdf1cae970094c64eadd70a07.exe,02cfabd2e684c8acc3694af40167b6b72001b8afdf1cae970094c64eadd70a07.exe,442880,432.5,7.5515,4cb119c1488d3b188c01bccd6e237cac,8b38b02aa39f8dca1900e40ff2c229cc1d529c68,02cfabd2e684c8acc3694af40167b6b72001b8afdf1cae970094c64eadd70a07,202931ce0eee4546b6f2271b02ac328a,4D5A500002000000,Windows Executable (MZ),'-rwxrwxrwx,2011-05-15 12:34:00 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,124 (0x7C),RVA=0x17EC; VA=0x4017EC,Likely packed (avg=4.09; flags=.rsrc:high)
C:\Users\adria\Documents\_malware\02dce9c797720514c556ccdd7ab1ea25eab5c21512f9f7e0da4c74d3c8e7aff7.exe,02dce9c797720514c556ccdd7ab1ea25eab5c21512f9f7e0da4c74d3c8e7aff7.exe,221184,216,6.2524,a9f2a90670e5bdc0f23d74abf072a491,475c170a582f2565a19ede6ab1c1d0c0a16d1332,02dce9c797720514c556ccdd7ab1ea25eab5c21512f9f7e0da4c74d3c8e7aff7,2803d499ef027ed41e77b7534b7344c9,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-23 04:06:38 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,264 (0x108),RVA=0x14A1A; VA=0x64014A1A,Unpacked
C:\Users\adria\Documents\_malware\02d6ce57d0a26f24518763187e7f21dbf855a8d8a389b3b93e01e85f12e88502.exe,02d6ce57d0a26f24518763187e7f21dbf855a8d8a389b3b93e01e85f12e88502.exe,434176,424,7.8722,db378bda50d31b82921608693b0e4452,1e608ab722dd7d5b15144dd3724e31e0c34054d9,02d6ce57d0a26f24518763187e7f21dbf855a8d8a389b3b93e01e85f12e88502,8558ccd03f51a613da77ccc1da19e418,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2008-06-18 15:42:03 UTC (OK),2008,Unknown (Language: Unknown),Unsigned,608 (0x260),RVA=0x6863E; VA=0x7863E,Likely packed (avg=4.83; flags=.rdata:high)
C:\Users\adria\Documents\_malware\02edbdacb4bbf629d577ebdbddeb517af57790f2dc06dca4e412be4760381af9.exe,02edbdacb4bbf629d577ebdbddeb517af57790f2dc06dca4e412be4760381af9.exe,129632,126.59,6.8871,078d33fc6ec0a0d58e1323623035bb42,16109ba72800ea5bc35a4ee751233beb0ee9763a,02edbdacb4bbf629d577ebdbddeb517af57790f2dc06dca4e412be4760381af9,e8ba4deded7361c60701130bc8f12f78,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-19 19:24:13 UTC (OK),2012,MSVC (Language: C/C++),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x1ACC0; VA=0x41ACC0,Unpacked
C:\Users\adria\Documents\_malware\02ccb04d1f6ab5c6fdb81d00fffcf2ad6abfb45b114e308f7944a1a00619820e.exe,02ccb04d1f6ab5c6fdb81d00fffcf2ad6abfb45b114e308f7944a1a00619820e.exe,195232,190.66,4.9252,9e2d6d36f45ff23e5af60815593bbc7e,4918649e00da4be6e5b335dd815a202705e1a4dd,02ccb04d1f6ab5c6fdb81d00fffcf2ad6abfb45b114e308f7944a1a00619820e,93365a0fbba2d014e40af802c5d90a3e,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-07-14 21:40:05 UTC (OK),2012,Unknown (Language: Unknown),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x1480; VA=0x401480,Unpacked
C:\Users\adria\Documents\_malware\02b85dc0c316c1765c9bfe59b552eed9c32cc02497b645d4fbc309842ed50673.exe,02b85dc0c316c1765c9bfe59b552eed9c32cc02497b645d4fbc309842ed50673.exe,313384,306.04,7.4837,54fc215a2d23ff75bb6023bcb1bcfe09,b2de1db58d6671113fe2970fb2ea552e9a157355,02b85dc0c316c1765c9bfe59b552eed9c32cc02497b645d4fbc309842ed50673,84c5411ff6479af7b470e615d0facb48,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-15 04:50:09 UTC (OK),2012,MSVC (Language: C/C++),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x44E50; VA=0x444E50,Likely packed (avg=4.03; flags=.text:high)
C:\Users\adria\Documents\_malware\02f8593b80e8080e1cf73b522003e9ffa7f6b334e399b73db4a1115381f1851a.exe,02f8593b80e8080e1cf73b522003e9ffa7f6b334e399b73db4a1115381f1851a.exe,130144,127.09,6.8678,db9db9d73efc566f9a62a7455fe2ff6a,edff6aefbfb0caf233eb9686671fb94d97433c40,02f8593b80e8080e1cf73b522003e9ffa7f6b334e399b73db4a1115381f1851a,3c5bb886b0836dda05f6b33c3a7c7c71,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-19 07:48:10 UTC (OK),2012,MSVC (Language: C/C++),Signed: subject=N/A; issuer=N/A; valid,128 (0x80),RVA=0x1AC80; VA=0x41AC80,Unpacked
C:\Users\adria\Documents\_malware\02e4f6da42813c531c55fe1aa43628e0c4dbb231959f6de8c2ca8454bd674644.exe,02e4f6da42813c531c55fe1aa43628e0c4dbb231959f6de8c2ca8454bd674644.exe,376832,368,7.8777,50f79715147aa6efaf3ade34a9f2e417,664c00071a806f8932f8e22b60fb769b64ab7f9b,02e4f6da42813c531c55fe1aa43628e0c4dbb231959f6de8c2ca8454bd674644,9bfa63e6aca36a04d379a303a512cbf8,4D5A500003000000,Windows Executable (MZ),'-rwxrwxrwx,No timestamp found,No t,Unknown (Language: Unknown),Unsigned,124 (0x7C),RVA=0x1404; VA=0x401404,Likely packed (avg=4.56; flags=.rsrc:high)
C:\Users\adria\Documents\_malware\02faf705803294e6e12dc58b23a1cc7481eb160ada8c212f5ac45fdc740f0855.exe,02faf705803294e6e12dc58b23a1cc7481eb160ada8c212f5ac45fdc740f0855.exe,208896,204,6.3953,544b5319fc9b98fc3bebdc7110c896cc,c8d02dd172673d8de14f68758d86b87b3e16135a,02faf705803294e6e12dc58b23a1cc7481eb160ada8c212f5ac45fdc740f0855,e1a40ba9d45909fa55df20114f7d2cd2,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-07 00:51:36 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,264 (0x108),RVA=0x12FAA; VA=0x64012FAA,Unpacked
C:\Users\adria\Documents\_malware\02fbc59091a54f1f39890d4372d8784cbc8f8df5a5052123e34113e2d74aa1c1.exe,02fbc59091a54f1f39890d4372d8784cbc8f8df5a5052123e34113e2d74aa1c1.exe,159232,155.5,7.7583,4eaca5727951a1025577643ef33a0748,9d93c01452f307e98339e59c583b8426b07d92ba,02fbc59091a54f1f39890d4372d8784cbc8f8df5a5052123e34113e2d74aa1c1,85eba078296d25e144b2aeb250d8262d,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-05-15 13:01:03 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,208 (0xD0),RVA=0x3F38; VA=0x403F38,Likely packed (avg=4.96; flags=.Coni:high)
C:\Users\adria\Documents\_malware\02fe6cfd1d8c2e88fb8183413d2f14590464e283e2e51c7fef5df672adca7664.exe,02fe6cfd1d8c2e88fb8183413d2f14590464e283e2e51c7fef5df672adca7664.exe,176128,172,7.7859,5a5308605ce48c8fb36e31ade2533fc8,a7a217646bb99929d32779a6fb92904984b2596d,02fe6cfd1d8c2e88fb8183413d2f14590464e283e2e51c7fef5df672adca7664,90ba7370afd8a1f5bacc094324d8182b,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-05-16 05:38:38 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x1000; VA=0x401000,Likely packed (avg=4.62; flags=.text:high)
C:\Users\adria\Documents\_malware\03a00cda0e5bdb497448f01b847251a1e753e8b743c02b7122905d286361f2ea.exe,03a00cda0e5bdb497448f01b847251a1e753e8b743c02b7122905d286361f2ea.exe,221184,216,6.4467,704abc4977cd52549e917245cf873f54,767b6ba4ed52b0fb7493aa3a417793282ba1de2b,03a00cda0e5bdb497448f01b847251a1e753e8b743c02b7122905d286361f2ea,715a1aafa8ff26f4e95322c67a8b0a1c,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-17 01:08:33 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,248 (0xF8),RVA=0x1470A; VA=0x6401470A,Unpacked
C:\Users\adria\Documents\_malware\03d0fca05296d9dc92a5b87bd3faaf14510e3667c827b2eacab79f57071979e3.exe,03d0fca05296d9dc92a5b87bd3faaf14510e3667c827b2eacab79f57071979e3.exe,178176,174,7.7916,5db05b4a9e421f3db2eeb3b74ae7403e,371070e3623752ae6d1c4395337673cd85fa1de7,03d0fca05296d9dc92a5b87bd3faaf14510e3667c827b2eacab79f57071979e3,5d6855dda557f5dd1ff533d43916fbbe,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-06-11 10:00:44 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,216 (0xD8),RVA=0x22B55; VA=0x422B55,Likely packed (avg=5.80; flags=.text:high)
C:\Users\adria\Documents\_malware\03d44943943e18cfb9e1e71292d1928d8883c1dc9b29b08e837c1ccf1ef76623.exe,03d44943943e18cfb9e1e71292d1928d8883c1dc9b29b08e837c1ccf1ef76623.exe,393216,384,7.7304,783dd8f2271c3f73586465077c1aa1a5,08b0d70ef22160871d442581afdb96170b7f44a4,03d44943943e18cfb9e1e71292d1928d8883c1dc9b29b08e837c1ccf1ef76623,39384d3709f59a5be0029d68835c8ab1,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-07-31 07:11:21 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,208 (0xD0),RVA=0x15D8; VA=0x4015D8,Likely packed (avg=6.86; flags=.rdata:high)
C:\Users\adria\Documents\_malware\03d3fb600b9cbffdcd06954447ffb9c7aad5b7f7fcdc425d3ae9dd0a289da484.exe,03d3fb600b9cbffdcd06954447ffb9c7aad5b7f7fcdc425d3ae9dd0a289da484.exe,442880,432.5,7.5516,4f47c4a0292ad029fe46c7ff1a89e801,c822968a97fda3121b3959c0ab4b450f5f42b29d,03d3fb600b9cbffdcd06954447ffb9c7aad5b7f7fcdc425d3ae9dd0a289da484,6507950a893289c892abfe3b3a50d381,4D5A500002000000,Windows Executable (MZ),'-rwxrwxrwx,2011-05-15 12:34:00 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,124 (0x7C),RVA=0x1844; VA=0x401844,Likely packed (avg=4.08; flags=.rsrc:high)
C:\Users\adria\Documents\_malware\03e1a3b94906fdbdcdcce0fceeb2674d3a646f2098f8c3dd02b4ab136e58e0a5.exe,03e1a3b94906fdbdcdcce0fceeb2674d3a646f2098f8c3dd02b4ab136e58e0a5.exe,405504,396,7.6824,a89363db68dfa5c85a2f5364c3957c10,e9b4ac32b86a21e756e2c603b7077f51e66fbf35,03e1a3b94906fdbdcdcce0fceeb2674d3a646f2098f8c3dd02b4ab136e58e0a5,03717aed018eb578ebffa7ddcc29bfe5,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-07-25 07:33:51 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,208 (0xD0),RVA=0x15B8; VA=0x4015B8,"Likely packed (avg=6.55; flags=.data:high,.rsrc:high)"
C:\Users\adria\Documents\_malware\03ec24b59bedfd3b13aa6be33fd881b7f61b3a9735bd048abd9744474135aebf.exe,03ec24b59bedfd3b13aa6be33fd881b7f61b3a9735bd048abd9744474135aebf.exe,223744,218.5,7.0457,52793d876d2a81e6e405daa48b724323,dc597fcd665fcf92b5f1850d40ca1f0486008a34,03ec24b59bedfd3b13aa6be33fd881b7f61b3a9735bd048abd9744474135aebf,e78046c170b9016010b491124830f051,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-05-30 01:46:26 UTC (OK),2011,MSVC (Language: C/C++),Unsigned,208 (0xD0),RVA=0x2B5B8; VA=0x42B5B8,Unpacked
C:\Users\adria\Documents\_malware\03ec19061f72bec0aafea6e8bf0a4068b85d9232e220d32f940f33e1e42f2fd5.exe,03ec19061f72bec0aafea6e8bf0a4068b85d9232e220d32f940f33e1e42f2fd5.exe,442368,432,7.6001,3415a57e6068a40967d496f152ad1a1f,7eb66a4c1e637e17887bf732496e74a7702b84e5,03ec19061f72bec0aafea6e8bf0a4068b85d9232e220d32f940f33e1e42f2fd5,426e9ae1e5750ff276a4af56a1a45b06,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-30 17:56:50 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,216 (0xD8),RVA=0x1985; VA=0x411985,Likely packed (avg=4.93; flags=.data:high)
C:\Users\adria\Documents\_malware\03ee844b3e45605724541d36d63e89424ad968f53509a92297692626af163db4.exe,03ee844b3e45605724541d36d63e89424ad968f53509a92297692626af163db4.exe,132096,129,6.9853,935bc622ebd7218dbe1df1a71e8b8781,f0b8a9bb4d96812c0be2c7c1881bad461868f6eb,03ee844b3e45605724541d36d63e89424ad968f53509a92297692626af163db4,ecc996dcb16d8499704ab99574b44a5a,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-11-06 16:38:09 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,128 (0x80),RVA=0x1ED0; VA=0x401ED0,Unpacked
C:\Users\adria\Documents\_malware\03eec2b97fecae6f2ab2be7f69c1c296a8d5e1efb2f8b6ea8e6491468df4ea0a.exe,03eec2b97fecae6f2ab2be7f69c1c296a8d5e1efb2f8b6ea8e6491468df4ea0a.exe,434176,424,7.5195,0b616bdc594032acf00fa5ef0fe0f9a4,5b2b7c283880b9e1cf881a12d3804894ceccb2fd,03eec2b97fecae6f2ab2be7f69c1c296a8d5e1efb2f8b6ea8e6491468df4ea0a,565986456185e6f4f33fe4c890ba4b16,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-08-09 20:09:33 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,208 (0xD0),RVA=0x1610; VA=0x401610,Likely packed (avg=6.12; flags=.data:high)
